url,book_id,title,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place
https://www.goodreads.com/book/show/2767052-the-hunger-games,,The Hunger Games,Suzanne Collins,4.32,6684638,6684638,374,,True,"Young Adult, Fiction, Science Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure, Young Adult, Teen, Apocalyptic, Post Apocalyptic, Action","(41, ""Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Dorothy Canfield Fisher Children's Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)"")","District 12, Panem, Capitol, Panem, Panem"
https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,2653016,2653016,870,2003.0,True,"Fantasy, Young Adult, Fiction, Fantasy, Magic, Childrens, Adventure, Audiobook, Childrens, Middle Grade, Classics, Science Fiction Fantasy","(9, ""Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004), Colorado Blue Spruce Young Adult Book Award (2006), Golden Archer Award for Middle/Junior High (2005), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Carnegie Medal Nominee (2003)"")","Hogwarts School of Witchcraft and Wizardry, London, England"
https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,,To Kill a Mockingbird,Harper Lee,4.28,4747957,4747957,324,1960.0,False,"Classics, Fiction, Historical, Historical Fiction, Academic, School, Literature, Young Adult, Historical, Novels, Academic, Read For School, Young Adult, High School","(4, 'Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)')","Maycomb, Alabama, Alabama"
https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,,Pride and Prejudice,Jane Austen,4.27,3185540,3185540,279,1813.0,False,"Classics, Fiction, Romance, Historical, Historical Fiction, Literature, Historical, Novels, Romance, Historical Romance, Adult, Classics, Classic Literature","(0, nan)","United Kingdom, Derbyshire, England, England, Hertfordshire, England"
https://www.goodreads.com/book/show/41865.Twilight,,Twilight,Stephenie Meyer,3.61,5205683,5205683,501,2005.0,True,"Young Adult, Fantasy, Romance, Fiction, Paranormal, Vampires, Fantasy, Paranormal, Romance, Paranormal Romance, Fantasy, Supernatural, Young Adult, Teen, Fantasy, Urban Fantasy","(25, ""Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008)"")","Forks, Washington, Phoenix, Arizona, Washington (state)"
https://www.goodreads.com/book/show/19063.The_Book_Thief,,The Book Thief,Markus Zusak,4.38,1941655,1941655,552,2005.0,False,"Historical, Historical Fiction, Fiction, Young Adult, Historical, Classics, War, World War II, Holocaust, War, World War II, Writing, Books About Books, Audiobook","(20, ""National Jewish Book Award for Children’s and Young Adult Literature (2006), Book Sense Book of the Year Award for Children's Literature (2007), Buxtehuder Bulle (2008), Sydney Taylor Book Award for Teen Readers (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2009), Michael L. Printz Award Nominee (2007), Exclusive Books Boeke Prize (2007), Rhode Island Teen Book Award Nominee (2008), The Quill Award Nominee for Young Adult/Teen (2006), Zilveren Zoen (2008), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009), Association of Jewish Libraries for Teen Book Award (2006), Lincoln Award Nominee (2010), Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008), Kathleen Mitchell Award, Ena Noel Award (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2009), LovelyBooks Leserpreis for Allgemeine Literatur (2009), Margaret A. Edwards Award (2014)"")","Molching, Germany"
https://www.goodreads.com/book/show/170448.Animal_Farm,,Animal Farm,George Orwell,3.96,2909056,2909056,141,1945.0,False,"Classics, Fiction, Science Fiction, Dystopia, Fantasy, Literature, Politics, Academic, School, Science Fiction, Novels, Academic, Read For School","(2, 'Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)')","England, United Kingdom"
https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,,The Chronicles of Narnia,C.S. Lewis,4.26,545431,545431,767,1956.0,True,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Adventure, Childrens, Middle Grade, Science Fiction Fantasy, Christian Fiction","(0, nan)","London, England"
https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,114605,114605,1728,1955.0,True,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Young Adult, Literature, Fantasy, Magic","(0, nan)",Middle-earth
https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,,The Fault in Our Stars,John Green,4.19,3778188,3778188,313,,False,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Young Adult, Teen, Young Adult, Coming Of Age, Novels, Drama, Love","(28, ""Georgia Peach Book Award (2013), Buxtehuder Bulle (2012), Odyssey Award (2013), Audie Award for Teens (2013), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013), Pennsylvania Young Readers' Choice Award for Young Adults (2013), Rhode Island Teen Book Award (2014), Evergreen Teen Book Award (2015), Soaring Eagle Book Award (2014), Milwaukee County Teen Book Award (2013), Indies Choice Book Award for Young Adult (2013), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013), Amelia Elizabeth Walden Award (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013), The Inky Awards for Silver Inky (2012), California Young Readers Medal for Young Adult (2015), Lincoln Award (2014), Luisterboek Award (2015), Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018), Green Mountain Book Award (2014), The Inky Awards Shortlist for Silver Inky (2012), Louisiana Teen Readers' Choice (2015), Missouri Gateway Readers Award (2015), Oklahoma Sequoyah Award for High School (2015), Alabama Author Award for Young Adult (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012), FAB Award Nominee (2014), Premi Protagonista Jove for Categoria 15-16 anys (2013)"")","Indianapolis, Indiana, Amsterdam"
